timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1405349452024858,4,51.760614,-1.260305,67.528100,2.491400,2.284800,10.729200,5735845.367347,620062.689527,-67.528100,30U
1405349452224588,4,51.760613,-1.260306,67.088400,2.486600,2.282300,10.710600,5735845.285265,620062.644485,-67.088400,30U
1405349452424642,4,51.760613,-1.260306,67.276200,2.486500,2.282700,10.698800,5735845.331641,620062.659002,-67.276200,30U
1405349452624356,4,51.760613,-1.260306,67.180000,2.484000,2.279700,10.694900,5735845.287704,620062.616978,-67.180000,30U
1405349452832621,4,51.760612,-1.260306,67.351900,2.480600,2.278700,10.678900,5735845.162070,620062.623425,-67.351900,30U
1405349453019605,4,51.760612,-1.260305,67.444500,2.478400,2.279200,10.672100,5735845.178872,620062.720329,-67.444500,30U
1405349453224197,5,51.760613,-1.260304,67.370400,2.474700,2.273600,10.657900,5735845.318422,620062.775711,-67.370400,30U
1405349453424601,5,51.760613,-1.260301,67.429600,2.470400,2.260500,10.249300,5735845.261702,620062.982704,-67.429600,30U
1405349453624214,5,51.760612,-1.260298,67.302300,2.470600,2.262300,10.250100,5735845.244252,620063.162855,-67.302300,30U
1405349453832007,4,51.760612,-1.260294,67.284100,2.471000,2.272300,10.639300,5735845.226714,620063.449636,-67.284100,30U
1405349454025155,5,51.760612,-1.260290,67.147100,2.490000,2.282700,10.673100,5735845.242079,620063.754971,-67.147100,30U
1405349454225376,5,51.760613,-1.260284,66.864500,2.469800,2.268400,10.629600,5735845.362485,620064.172945,-66.864500,30U
1405349454425112,5,51.760614,-1.260281,65.305200,2.464600,2.202700,8.307200,5735845.458528,620064.371062,-65.305200,30U
1405349454624269,5,51.760615,-1.260271,67.621500,2.466700,2.194600,7.966500,5735845.529299,620065.020026,-67.621500,30U
1405349454832140,5,51.760616,-1.260266,66.887400,2.467900,2.201000,8.085000,5735845.688694,620065.390123,-66.887400,30U
1405349455024565,5,51.760618,-1.260263,63.225200,2.465800,2.205900,8.274800,5735845.911732,620065.563708,-63.225200,30U
1405349455220345,5,51.760621,-1.260258,63.596200,2.461600,2.192800,7.978100,5735846.229673,620065.966655,-63.596200,30U
1405349455424327,5,51.760623,-1.260252,62.772500,2.458300,2.184000,7.701500,5735846.503986,620066.376136,-62.772500,30U
1405349455625588,5,51.760626,-1.260242,64.799600,2.518200,2.249600,7.807100,5735846.886302,620067.031841,-64.799600,30U
1405349455834077,5,51.760631,-1.260237,64.417600,2.498600,2.231600,7.769500,5735847.435898,620067.323401,-64.417600,30U
1405349456024796,3,51.760635,-1.260237,64.742600,2.498700,2.231500,7.769300,5735847.853290,620067.364470,-64.742600,30U
1405349456224596,4,51.760644,-1.260227,65.284400,2.497100,2.332000,10.643600,5735848.831258,620067.997417,-65.284400,30U
1405349456424940,4,51.760650,-1.260224,65.163400,2.484000,2.298500,10.577000,5735849.575190,620068.198450,-65.163400,30U
1405349456624993,4,51.760657,-1.260220,64.951500,2.455300,2.261900,10.547500,5735850.376966,620068.459306,-64.951500,30U
1405349456832226,4,51.760665,-1.260217,64.912100,2.453800,2.260100,10.540600,5735851.217748,620068.627401,-64.912100,30U
1405349457024190,4,51.760673,-1.260215,64.862100,2.454200,2.260900,10.549800,5735852.077009,620068.789408,-64.862100,30U
1405349457225129,4,51.760681,-1.260213,64.615100,2.453300,2.263200,10.536700,5735852.982131,620068.911104,-64.615100,30U
1405349457425979,4,51.760690,-1.260211,64.262400,2.452300,2.261000,10.539300,5735853.967052,620069.018545,-64.262400,30U
1405349457627127,4,51.760699,-1.260210,64.610100,2.456300,2.272400,10.556700,5735854.993449,620069.025639,-64.610100,30U
1405349457833509,4,51.760708,-1.260209,64.530400,2.460800,2.287100,10.570000,5735856.065915,620069.062751,-64.530400,30U
1405349458025362,4,51.760718,-1.260210,64.260800,2.448800,2.258400,10.531500,5735857.151077,620069.022413,-64.260800,30U
1405349458225890,4,51.760728,-1.260210,64.254500,2.445500,2.244900,10.514900,5735858.282384,620068.972442,-64.254500,30U
1405349458425457,4,51.760739,-1.260210,64.091600,2.447900,2.244500,10.522300,5735859.463795,620068.957936,-64.091600,30U
1405349458625170,4,51.760750,-1.260209,63.909800,2.445100,2.240900,10.515800,5735860.706851,620068.967629,-63.909800,30U
1405349458833408,4,51.760762,-1.260209,63.971200,2.454700,2.246400,10.540000,5735862.007013,620068.915711,-63.971200,30U
1405349459025279,4,51.760774,-1.260209,63.974700,2.448100,2.245000,10.519700,5735863.315912,620068.918951,-63.974700,30U
1405349459226466,4,51.760786,-1.260209,64.255500,2.446400,2.240100,10.511400,5735864.679061,620068.862353,-64.255500,30U
1405349459427073,3,51.760792,-1.260209,64.321600,2.453700,2.240400,10.533500,5735865.325469,620068.855314,-64.321600,30U
1405349459625960,3,51.760792,-1.260209,64.321600,2.453700,2.240400,10.533500,5735865.325469,620068.855314,-64.321600,30U
1405349459835326,4,51.760823,-1.260209,65.007700,2.512500,2.243000,10.712100,5735868.802304,620068.747747,-65.007700,30U
1405349460027741,4,51.760836,-1.260212,65.481200,2.538800,2.333200,10.828700,5735870.204271,620068.570806,-65.481200,30U
1405349460225032,3,51.760842,-1.260212,65.544800,2.538000,2.332200,10.827100,5735870.875926,620068.500168,-65.544800,30U
1405349460425085,3,51.760853,-1.260213,65.362900,2.550700,2.386700,10.883900,5735872.144362,620068.399469,-65.362900,30U
